"trimestre","indice"
"199601",99.41
"199602",100.6
"199603",104.31
"199604",103.32
"199701",104.43
"199702",104.94
"199703",106.27
"199704",107.16
"199801",105.04
"199802",106.84
"199803",106.81
"199804",105.59
"199901",105.78
"199902",106.34
"199903",106.33
"199904",107.84
"200001",108.98
"200002",110.53
"200003",111.83
"200004",113.21
"200101",113.6
"200102",113.07
"200103",112.48
"200104",112.15
"200201",114.94
"200202",115.2
"200203",116.8
"200204",117.99
"200301",117.47
"200302",116.48
"200303",117.58
"200304",118.8
"200401",120.44
"200402",123.76
"200403",125.34
"200404",126.29
"200501",127.41
"200502",128.75
"200503",128.02
"200504",129.64
"200601",131.74
"200602",132.14
"200603",134.36
"200604",135.93
"200701",138.48
"200702",140.8
"200703",142.27
"200704",144.42
"200801",146.25
"200802",149.19
"200803",151.64
"200804",145.92
"200901",143.82
"200902",146.47
"200903",149.9
"200904",153.76
"201001",156.93
"201002",158.94
"201003",160.34
"201004",162.63
"201101",164.81
"201102",166.48
"201103",166.11
"201104",167.62
"201201",165.23
"201202",168.21
"201203",171.11
"201204",171.16
"201301",172.08
"201302",174.45
"201303",175.28
"201304",175.56
"201401",177.04
"201402",174.43
"201403",174.32
"201404",175.24
"201501",173.85
"201502",169.75
"201503",166.96
"201504",165.68
"201601",163.3
"201602",163.75
"201603",162.86
"201604",162.68
"201701",164.36
"201702",165.73
"201703",166.11
"201704",167.01
"201801",168.03
"201802",167.84
"201803",169.44
"201804",169.02
"201901",169.52
"201902",170.5
"201903",170.53
"201904",172.03
"202001",168.09
"202002",153.17
"202003",165.3
"202004",171.65
"202101",173.15
"202102",171.94
"202103",172.2
"202104",174.49
"202201",175.7
"202202",177.71
"202203",179.58
"202204",180.35
"202301",182.75
"202302",184.2
"202303",184.45
"202304",185.14
"202401",186.36
"202402",189.55
"202403",191.25
"202404",191.4
"202501",193.81
"202502",194.5
"202503",194.71
"202504",195.2
"202601",197.29
"202602",198.24
