"trimestre","componente","valor_milhoes"
"201901","Agropecuária - total",94821
"201902","Agropecuária - total",83473
"201903","Agropecuária - total",75480
"201904","Agropecuária - total",56940
"202001","Agropecuária - total",128729
"202002","Agropecuária - total",128444
"202003","Agropecuária - total",100483
"202004","Agropecuária - total",76965
"202101","Agropecuária - total",244068
"202102","Agropecuária - total",169064
"202103","Agropecuária - total",106886
"202104","Agropecuária - total",71067
"202201","Agropecuária - total",170408
"202202","Agropecuária - total",162485
"202203","Agropecuária - total",145705
"202204","Agropecuária - total",102745
"202301","Agropecuária - total",196486
"202302","Agropecuária - total",194327
"202303","Agropecuária - total",157149
"202304","Agropecuária - total",111162
"202401","Agropecuária - total",190749
"202402","Agropecuária - total",203684
"202403","Agropecuária - total",170874
"202404","Agropecuária - total",112268
"202501","Agropecuária - total",245582
"202502","Agropecuária - total",251976
"202503","Agropecuária - total",176191
"202504","Agropecuária - total",101548
"202601","Agropecuária - total",230386
"202602","Agropecuária - total",204591
"201901","Indústria - total",306190
"201902","Indústria - total",343377
"201903","Indústria - total",376960
"201904","Indústria - total",359277
"202001","Indústria - total",336572
"202002","Indústria - total",343114
"202003","Indústria - total",405248
"202004","Indústria - total",399403
"202101","Indústria - total",426822
"202102","Indústria - total",493040
"202103","Indústria - total",555769
"202104","Indústria - total",518168
"202201","Indústria - total",494170
"202202","Indústria - total",594970
"202203","Indústria - total",617098
"202204","Indústria - total",593889
"202301","Indústria - total",562977
"202302","Indústria - total",603144
"202303","Indústria - total",620226
"202304","Indústria - total",636966
"202401","Indústria - total",572315
"202402","Indústria - total",619057
"202403","Indústria - total",643971
"202404","Indústria - total",631313
"202501","Indústria - total",592624
"202502","Indústria - total",643604
"202503","Indústria - total",682155
"202504","Indústria - total",648431
"202601","Indústria - total",632852
"202602","Indústria - total",706134
"201901","Indústrias extrativas",34690
"201902","Indústrias extrativas",43946
"201903","Indústrias extrativas",55560
"201904","Indústrias extrativas",48621
"202001","Indústrias extrativas",47613
"202002","Indústrias extrativas",38338
"202003","Indústrias extrativas",50149
"202004","Indústrias extrativas",57515
"202101","Indústrias extrativas",80703
"202102","Indústrias extrativas",110478
"202103","Indústrias extrativas",126525
"202104","Indústrias extrativas",107162
"202201","Indústrias extrativas",100116
"202202","Indústrias extrativas",123757
"202203","Indústrias extrativas",136362
"202204","Indústrias extrativas",116441
"202301","Indústrias extrativas",98453
"202302","Indústrias extrativas",93058
"202303","Indústrias extrativas",98746
"202304","Indústrias extrativas",112022
"202401","Indústrias extrativas",101211
"202402","Indústrias extrativas",104731
"202403","Indústrias extrativas",112853
"202404","Indústrias extrativas",110815
"202501","Indústrias extrativas",105661
"202502","Indústrias extrativas",100722
"202503","Indústrias extrativas",101006
"202504","Indústrias extrativas",96210
"202601","Indústrias extrativas",91109
"202602","Indústrias extrativas",133124
"201901","Indústrias de transformação",169674
"201902","Indústrias de transformação",193950
"201903","Indústrias de transformação",204888
"201904","Indústrias de transformação",194970
"202001","Indústrias de transformação",173495
"202002","Indústrias de transformação",187687
"202003","Indústrias de transformação",229621
"202004","Indústrias de transformação",222886
