"data","serie","codigo","valor"
2010-01-01,"base_monetaria",1788,155650325
2010-02-01,"base_monetaria",1788,154334418
2010-03-01,"base_monetaria",1788,156710266
2010-04-01,"base_monetaria",1788,154627326
2010-05-01,"base_monetaria",1788,158687309
2010-06-01,"base_monetaria",1788,159627969
2010-07-01,"base_monetaria",1788,162528341
2010-08-01,"base_monetaria",1788,173242650
2010-09-01,"base_monetaria",1788,176001728
2010-10-01,"base_monetaria",1788,177434730
2010-11-01,"base_monetaria",1788,178485518
2010-12-01,"base_monetaria",1788,206853322
2011-01-01,"base_monetaria",1788,193547227
2011-02-01,"base_monetaria",1788,185606930
2011-03-01,"base_monetaria",1788,179918782
2011-04-01,"base_monetaria",1788,172725439
2011-05-01,"base_monetaria",1788,178297658
2011-06-01,"base_monetaria",1788,190510862
2011-07-01,"base_monetaria",1788,182099198
2011-08-01,"base_monetaria",1788,179285432
2011-09-01,"base_monetaria",1788,188504749
2011-10-01,"base_monetaria",1788,188069133
2011-11-01,"base_monetaria",1788,182670915
2011-12-01,"base_monetaria",1788,214235311
2012-01-01,"base_monetaria",1788,212136241
2012-02-01,"base_monetaria",1788,191488769
2012-03-01,"base_monetaria",1788,201956126
2012-04-01,"base_monetaria",1788,193183934
2012-05-01,"base_monetaria",1788,191663053
2012-06-01,"base_monetaria",1788,198858463
2012-07-01,"base_monetaria",1788,203627550
2012-08-01,"base_monetaria",1788,203575297
2012-09-01,"base_monetaria",1788,202200005
2012-10-01,"base_monetaria",1788,204756960
2012-11-01,"base_monetaria",1788,209024611
2012-12-01,"base_monetaria",1788,233371452
2013-01-01,"base_monetaria",1788,216463907
2013-02-01,"base_monetaria",1788,205022593
2013-03-01,"base_monetaria",1788,207717486
2013-04-01,"base_monetaria",1788,209621828
2013-05-01,"base_monetaria",1788,201046331
2013-06-01,"base_monetaria",1788,214567507
2013-07-01,"base_monetaria",1788,210471469
2013-08-01,"base_monetaria",1788,209608119
2013-09-01,"base_monetaria",1788,229574843
2013-10-01,"base_monetaria",1788,211135082
2013-11-01,"base_monetaria",1788,215546803
2013-12-01,"base_monetaria",1788,249509778
2014-01-01,"base_monetaria",1788,222947119
2014-02-01,"base_monetaria",1788,224671134
2014-03-01,"base_monetaria",1788,228014047
2014-04-01,"base_monetaria",1788,222462991
2014-05-01,"base_monetaria",1788,214771855
2014-06-01,"base_monetaria",1788,222858595
2014-07-01,"base_monetaria",1788,223594688
2014-08-01,"base_monetaria",1788,231344899
2014-09-01,"base_monetaria",1788,238409382
2014-10-01,"base_monetaria",1788,231028326
2014-11-01,"base_monetaria",1788,241625564
2014-12-01,"base_monetaria",1788,263528517
2015-01-01,"base_monetaria",1788,238524692
2015-02-01,"base_monetaria",1788,238815587
2015-03-01,"base_monetaria",1788,240656354
2015-04-01,"base_monetaria",1788,235020109
2015-05-01,"base_monetaria",1788,239513461
2015-06-01,"base_monetaria",1788,231958724
2015-07-01,"base_monetaria",1788,225062844
2015-08-01,"base_monetaria",1788,231716459
2015-09-01,"base_monetaria",1788,228447456
2015-10-01,"base_monetaria",1788,239621335
2015-11-01,"base_monetaria",1788,242846854
2015-12-01,"base_monetaria",1788,255288922
2016-01-01,"base_monetaria",1788,240328748
2016-02-01,"base_monetaria",1788,252559892
2016-03-01,"base_monetaria",1788,242529929
2016-04-01,"base_monetaria",1788,242142585
2016-05-01,"base_monetaria",1788,239965619
2016-06-01,"base_monetaria",1788,234678114
2016-07-01,"base_monetaria",1788,240845334
2016-08-01,"base_monetaria",1788,235768695
2016-09-01,"base_monetaria",1788,247035954
2016-10-01,"base_monetaria",1788,247845546
2016-11-01,"base_monetaria",1788,244919983
2016-12-01,"base_monetaria",1788,270287146
2017-01-01,"base_monetaria",1788,262392204
