"trimestre","conta","valor_milhoes"
"200001","Produto Interno Bruto",276927
"200002","Produto Interno Bruto",292789
"200003","Produto Interno Bruto",308896
"200004","Produto Interno Bruto",320481
"200101","Produto Interno Bruto",312470
"200102","Produto Interno Bruto",323724
"200103","Produto Interno Bruto",332524
"200104","Produto Interno Bruto",347038
"200201","Produto Interno Bruto",342297
"200202","Produto Interno Bruto",367363
"200203","Produto Interno Bruto",379795
"200204","Produto Interno Bruto",399333
"200301","Produto Interno Bruto",397242
"200302","Produto Interno Bruto",418987
"200303","Produto Interno Bruto",439350
"200304","Produto Interno Bruto",462372
"200401","Produto Interno Bruto",444783
"200402","Produto Interno Bruto",481795
"200403","Produto Interno Bruto",505252
"200404","Produto Interno Bruto",525920
"200501","Produto Interno Bruto",499710
"200502","Produto Interno Bruto",535557
"200503","Produto Interno Bruto",552859
"200504","Produto Interno Bruto",582458
"200601","Produto Interno Bruto",554270
"200602","Produto Interno Bruto",581977
"200603","Produto Interno Bruto",617848
"200604","Produto Interno Bruto",655355
"200701","Produto Interno Bruto",631423
"200702","Produto Interno Bruto",670655
"200703","Produto Interno Bruto",691846
"200704","Produto Interno Bruto",726339
"200801","Produto Interno Bruto",712055
"200802","Produto Interno Bruto",769525
"200803","Produto Interno Bruto",812603
"200804","Produto Interno Bruto",815620
"200901","Produto Interno Bruto",756127
"200902","Produto Interno Bruto",803577
"200903","Produto Interno Bruto",852843
"200904","Produto Interno Bruto",920492
"201001","Produto Interno Bruto",886397
"201002","Produto Interno Bruto",944145
"201003","Produto Interno Bruto",997935
"201004","Produto Interno Bruto",1057370
"201101","Produto Interno Bruto",1016531
"201102","Produto Interno Bruto",1086712
"201103","Produto Interno Bruto",1112334
"201104","Produto Interno Bruto",1160805
"201201","Produto Interno Bruto",1129474
"201202","Produto Interno Bruto",1183126
"201203","Produto Interno Bruto",1230449
"201204","Produto Interno Bruto",1271711
"201301","Produto Interno Bruto",1241614
"201302","Produto Interno Bruto",1322580
"201303","Produto Interno Bruto",1354134
"201304","Produto Interno Bruto",1413291
"201401","Produto Interno Bruto",1385981
"201402","Produto Interno Bruto",1422322
"201403","Produto Interno Bruto",1462125
"201404","Produto Interno Bruto",1508525
"201501","Produto Interno Bruto",1456659
"201502","Produto Interno Bruto",1479970
"201503","Produto Interno Bruto",1508228
"201504","Produto Interno Bruto",1550930
"201601","Produto Interno Bruto",1500299
"201602","Produto Interno Bruto",1559050
"201603","Produto Interno Bruto",1577170
"201604","Produto Interno Bruto",1632808
"201701","Produto Interno Bruto",1585673
"201702","Produto Interno Bruto",1630730
"201703","Produto Interno Bruto",1648635
"201704","Produto Interno Bruto",1720441
"201801","Produto Interno Bruto",1682083
"201802","Produto Interno Bruto",1734099
"201803","Produto Interno Bruto",1767856
"201804","Produto Interno Bruto",1820103
"201901","Produto Interno Bruto",1757554
"201902","Produto Interno Bruto",1826761
"201903","Produto Interno Bruto",1880610
"201904","Produto Interno Bruto",1924206
"202001","Produto Interno Bruto",1868095
"202002","Produto Interno Bruto",1752724
"202003","Produto Interno Bruto",1929323
