Empresa,constituicao,porte,empregados99,faturamento98,faturamento99,idade,cidade,atividade,setor,regiao
1,Ltda.,Pequena,9,64302,74392,15,São Paulo,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
2,S.A.,Média,31,177330,251488,5,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
3,Ltda.,Grande,119,449546,369409,21,Salvador,Outros artigos de material plástico,Outros ,nordeste
4,Ltda.,Média,35,200223,230843,12,Salvador,Artigos para embalagens e acondicionamento,Embalagens ,nordeste
5,Ltda.,Pequena,6,86559,98436,18,Salvador,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",nordeste
6,S.A.,Grande,46,413846,408905,25,Salvador,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",nordeste
7,Individual,Média,23,208081,226582,12,São Paulo,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
8,Ltda.,Grande,162,433488,395680,19,Salvador,Artigos de material plástico para uso industrial,Industrial,nordeste
9,Individual,Pequena,7,98232,120310,24,Porto Alegre,Outros artigos de material plástico,Outros ,sul
10,Ltda.,Pequena,6,174097,121765,9,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
11,Ltda.,Média,34,246168,191222,35,Salvador,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",nordeste
12,S.A.,Grande,243,376339,453692,3,São Paulo,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",sudeste
13,Ltda.,Média,35,182871,255486,37,Rio de Janeiro,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
14,Individual,Pequena,7,136102,197355,3,Salvador,Artigos para embalagens e acondicionamento,Embalagens ,nordeste
15,S.A.,Grande,130,386430,447856,42,Salvador,Laminados plásticos,Laminados plásticos,nordeste
16,Individual,Pequena,8,147440,211125,4,Salvador,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,nordeste
17,S.A.,Grande,194,446120,398433,5,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
18,S.A.,Média,35,210984,235375,15,São Paulo,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",sudeste
19,S.A.,Média,13,238367,222794,18,Curitiba,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sul
20,S.A.,Grande,225,430256,425462,23,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
21,Ltda.,Pequena,3,170758,190567,29,São Paulo,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",sudeste
22,S.A.,Grande,145,410329,456073,18,São Paulo,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
23,Ltda.,Média,11,236743,241167,4,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
24,Individual,Pequena,7,174148,188445,5,Rio de Janeiro,Outros artigos de material plástico,Outros ,sudeste
25,Ltda.,Pequena,2,182319,190834,27,São Paulo,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
26,S.A.,Grande,146,463107,405445,23,Curitiba,Artigos para embalagens e acondicionamento,Embalagens ,sul
27,S.A.,Média,39,252804,232567,22,Salvador,Outros artigos de material plástico,Outros ,nordeste
28,Individual,Pequena,4,161013,232450,4,Salvador,Artigos para embalagens e acondicionamento,Embalagens ,nordeste
29,S.A.,Grande,177,415383,455877,18,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
30,Ltda.,Média,34,233940,256063,3,Salvador,Laminados plásticos,Laminados plásticos,nordeste
31,S.A.,Grande,174,434627,474724,16,Salvador,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,nordeste
32,Ltda.,Média,30,234434,256733,30,Belo Horizonte,Laminados plásticos,Laminados plásticos,sudeste
33,S.A.,Média,39,245942,255101,10,Salvador,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,nordeste
34,S.A.,Grande,167,425721,492244,3,São Paulo,Outros artigos de material plástico,Outros ,sudeste
35,Individual,Média,43,209321,317034,14,São Paulo,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
36,S.A.,Grande,122,453339,478053,14,Belo Horizonte,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
37,S.A.,Média,32,229458,307489,19,Salvador,Artigos para embalagens e acondicionamento,Embalagens ,nordeste
