"setor","Agropecuária","Indústrias extrativas","Indústrias de transformação","Eletricidade e gás, água, esgoto e gestão de resíduos","Construção","Comércio","Transporte, armazenagem e correio","Informação e comunicação","Atividades financeiras, de seguros e serviços relacionados","Atividades imobiliárias","Outras atividades de serviços","Administração, defesa, saúde e educação públicas e seguridade social"
"Agropecuária",0.0405343110562311,0.000524636902770438,0.0764492534260115,0.000463372469159914,0.00255927296331961,0.00914789193795141,0.000568319306586871,0.000239737721126905,6.25655435574919e-05,5.50125401732257e-05,0.00433131751783848,0.00156793011837711
"Indústrias extrativas",0.00110288838353343,0.0544009632640559,0.0420777813143816,0.0149135187870332,0.0111877528537285,0.000189027111472509,0.000283605708770286,0.000288554283358241,7.85549347956657e-05,0.000627874018687988,0.000206224657214753,0.000294365702763382
"Indústrias de transformação",0.206423029749419,0.110894505165282,0.273069483440487,0.0759925492586146,0.20522030269194,0.0573808439222364,0.182534981014504,0.0279488999121307,0.00968562884085667,0.00928932876480096,0.0711063546853572,0.0258993451845509
"Eletricidade e gás, água, esgoto e gestão de resíduos",0.0233012416503645,0.0108076053839551,0.0154556049113898,0.275759567860538,0.00116275909918764,0.0175890682487125,0.00573996088123447,0.00723957275107216,0.00411276614439922,0.00125952219920023,0.0166493954882847,0.0172561462010092
"Construção",0.000592694549403642,0.012571096347675,0.000917125218499399,0.0127611368088621,0.0935401534634652,0.00103530597432529,0.0031402527418074,0.0163693755096682,0.00298281056476553,0.00292085276299299,0.00356032851029504,0.0139242494137743
"Comércio",0.0593951346224838,0.0312098980166634,0.0789023216631594,0.0201625275047784,0.0577176500795644,0.0275047815139762,0.0469936940148833,0.0249873103911999,0.0059341502638593,0.00326066604035981,0.0321010425734309,0.0133143660249777
"Transporte, armazenagem e correio",0.0199936287370367,0.083783137484445,0.0493231464551226,0.0186085347749589,0.0119047188233572,0.0503422094509623,0.112530530717153,0.00963954341682771,0.0142152523055691,0.000853873634531148,0.0183127868612914,0.0117725257578191
"Informação e comunicação",0.000201581025271618,0.00387898809542101,0.00562973252532082,0.00654329233761211,0.00225364402909857,0.0131079207999108,0.00764195235036501,0.120957886419277,0.0392725383855207,0.00141955405185177,0.0379995552780219,0.0173315987644484
"Atividades financeiras, de seguros e serviços relacionados",0.01525339177051,0.0222417824621972,0.0175588982570577,0.0216950728852416,0.0142848498458709,0.0235984414596251,0.0247778800053435,0.0291164305340242,0.124072903582156,0.0379043613171316,0.0170013436306493,0.044627956342923
"Atividades imobiliárias",3.64575698306114e-05,0.00135835932900304,0.00183084304766296,0.00429460363142355,0.00168058093255637,0.0338135746407864,0.00673215131641835,0.0122305450132083,0.00961504152096865,0.00274215398004408,0.0174985177350965,0.00360502694364641
"Outras atividades de serviços",0.00369195985093218,0.092964572681351,0.0458518255180155,0.0506329264180753,0.0233138707881657,0.0799177955738064,0.0576725847630239,0.140586593576532,0.101801512939911,0.00799825827996531,0.0903391523488235,0.0782021424712445
"Administração, defesa, saúde e educação públicas e seguridade social",0.000741410235158382,0.00486405766562914,0.00279870404597601,0.00459444498649448,0.00117253396838791,0.00410729285794901,0.00388964199899932,0.00631698079577227,0.00448287872818079,0.000377110740574884,0.00416389885436372,0.00346938980887192
