"setor","Agropecuária","Indústrias extrativas","Indústrias de transformação","Eletricidade e gás, água, esgoto e gestão de resíduos","Construção","Comércio","Transporte, armazenagem e correio","Informação e comunicação","Atividades financeiras, de seguros e serviços relacionados","Atividades imobiliárias","Outras atividades de serviços","Administração, defesa, saúde e educação públicas e seguridade social"
"Agropecuária",1.07042258679825,0.020220638753937,0.119541084654498,0.0169508849856249,0.0325720825470353,0.0206047549256802,0.0279288566879843,0.00863780052443493,0.00456908304052627,0.00171613907183109,0.0166877912495904,0.00782147631350522
"Indústrias extrativas",0.0171179846317354,1.06845665634874,0.0666371585054435,0.0307372365693036,0.0292135396999075,0.00645671552621377,0.0153004387263932,0.00488163888053523,0.0024456678241512,0.00161088675469155,0.00704450139841947,0.00403494325883097
"Indústrias de transformação",0.338341626216781,0.228313296795779,1.47531498727906,0.190107558113872,0.354863611823714,0.125413218680143,0.324263851393582,0.0866661727356426,0.0450385971666028,0.018838837684204,0.137938888417916,0.0671162585034489
"Eletricidade e gás, água, esgoto e gestão de resíduos",0.0460790292874229,0.0280264403721122,0.0437498392031286,1.39072594901819,0.0156648752241523,0.0328006989909841,0.0225818765352117,0.0201327585699557,0.012474430256693,0.00312764477028786,0.0320433584213493,0.0296585217947213
"Construção",0.00271332819232413,0.0171135309646864,0.00471407825657829,0.0215418678672686,1.10514839557604,0.00337367283762617,0.00609348339621289,0.022494708494367,0.00593790216211123,0.00365188134557693,0.00654659640004719,0.0172479575951314
"Comércio",0.0989305681464591,0.0671641184982021,0.139921087735657,0.0544615339976149,0.10270171040279,1.04912818550062,0.0897742194593914,0.0472669679451075,0.0193635318559752,0.00647637123931688,0.05423804360859,0.027236678322148
"Transporte, armazenagem e correio",0.0526968076686307,0.122595742525428,0.103237503667699,0.0496901163843475,0.0463135092583434,0.0716645881416451,1.15588828935478,0.0263382426831864,0.026436166880906,0.0038121826911175,0.0370131309944073,0.0234827264739641
"Informação e comunicação",0.00816279459941649,0.0168097125465068,0.0200768651709316,0.0199140337073444,0.0118026119900381,0.0242478680675942,0.0207208156093237,1.15018498505903,0.0587440552168498,0.0046578953301679,0.0526601163477424,0.0284021234666955
"Atividades financeiras, de seguros e serviços relacionados",0.0327107872146649,0.0424250991704712,0.0448505722695944,0.0462199079242258,0.0331605003905685,0.0392272202369956,0.0469315312433036,0.0482740770308475,1.1501379252918,0.0448298028530497,0.0316188750543686,0.0585619005028152
"Atividades imobiliárias",0.00577859450601686,0.00830872507574752,0.0111057947895626,0.0112096355276342,0.00808947474452326,0.0391524229251647,0.0142289407550875,0.0201238362443742,0.015366773623749,1.00383908364229,0.0232761255381853,0.00779473303779461
"Outras atividades de serviços",0.0430493492399677,0.144534269260829,0.11183554550747,0.107755122709429,0.0680800147495866,0.114687333387032,0.10976998903096,0.196536642604779,0.145252952138531,0.0168317906477838,1.12852547509421,0.107207542554259
"Administração, defesa, saúde e educação públicas e seguridade social",0.00304018336738494,0.00768053567962987,0.00654496534855029,0.0083408097488037,0.0036515773004105,0.00598225014475203,0.0068055937949576,0.0090275329130003,0.00654831367254206,0.000803735517194993,0.0061579287887034,1.00495080884226
