"trimestre","componente","taxa","valor_pct"
"199601","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-0.6
"199602","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",1.3
"199603","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",5.6
"199604","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.3
"199701","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",3.4
"199702","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.8
"199703","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",1.8
"199704","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",3.7
"199801","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",1
"199802","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",1.5
"199803","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",0.4
"199804","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-1.4
"199901","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",0.8
"199902","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-0.4
"199903","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-0.6
"199904","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.2
"200001","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.4
"200002","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4
"200003","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.6
"200004","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.6
"200101","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",3.5
"200102","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.3
"200103","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",0.5
"200104","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-0.5
"200201","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",0.5
"200202","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.3
"200203","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.2
"200204","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",5.2
"200301","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.7
"200302","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",0.8
"200303","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",0.6
"200304","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",0.6
"200401","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",3.9
"200402","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.3
"200403","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.6
"200404","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.2
"200501","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.2
"200502","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.5
"200503","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.1
"200504","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.2
"200601","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.3
"200602","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.3
"200603","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.5
"200604","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.8
"200701","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",5.2
"200702","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.5
"200703","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",5.9
"200704","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.6
"200801","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.2
"200802","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.3
"200803","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",7
"200804","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",1
"200901","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-2.4
"200902","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-2.2
"200903","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",-1.2
"200904","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",5.3
"201001","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",9.2
"201002","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",8.5
"201003","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",6.9
"201004","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",5.7
"201101","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",5.2
"201102","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",4.7
"201103","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",3.5
"201104","PIB a preços de mercado","Taxa trimestral (em relação ao mesmo período do ano anterior)",2.6
