"ano","uf","regiao","pib","va_total","impostos","va_agro","va_industria","va_servicos","va_adm_publica","populacao"
"2021","Rondônia","Norte",58170096,51055095,7115001,10581030,7708393,19662492,13103179,1815278
"2023","Rondônia","Norte",76456179,NA,NA,NA,NA,NA,NA,NA
"2021","Acre","Norte",21374440,19295727,2078713,3637871,1371816,7652757,6633283,906876
"2023","Acre","Norte",26291321,NA,NA,NA,NA,NA,NA,NA
"2021","Amazonas","Norte",131531038,109237244,22293794,5631734,41858993,39019250,22727267,4269995
"2023","Amazonas","Norte",161794976,NA,NA,NA,NA,NA,NA,NA
"2021","Roraima","Norte",18202579,16309700,1892880,1234389,1535729,6368835,7170746,652713
"2023","Roraima","Norte",25124805,NA,NA,NA,NA,NA,NA,NA
"2021","Pará","Norte",262904979,240097248,22807731,24296591,111321133,64743381,39736143,8777124
"2023","Pará","Norte",254546511,NA,NA,NA,NA,NA,NA,NA
"2021","Amapá","Norte",20099851,18505446,1594405,346361,2365599,7215090,8578396,877613
"2023","Amapá","Norte",28020120,NA,NA,NA,NA,NA,NA,NA
"2021","Tocantins","Norte",51780764,46695315,5085449,13364375,5000272,15959034,12371635,1607363
"2023","Tocantins","Norte",64317699,NA,NA,NA,NA,NA,NA,NA
"2021","Maranhão","Nordeste",124980720,110229915,14750805,13885862,21733198,46190740,28420116,7153262
"2023","Maranhão","Nordeste",149227195,NA,NA,NA,NA,NA,NA,NA
"2021","Piauí","Nordeste",64028303,57488868,6539435,7821685,8222965,24184665,17259553,3289290
"2023","Piauí","Nordeste",80916856,NA,NA,NA,NA,NA,NA,NA
"2021","Ceará","Nordeste",194884802,167056891,27827910,10410352,34230713,83990541,38425285,9240580
"2023","Ceará","Nordeste",232239257,NA,NA,NA,NA,NA,NA,NA
"2021","Rio Grande do Norte","Nordeste",80180733,71064332,9116401,3141755,14728096,32321165,20873316,3560903
"2023","Rio Grande do Norte","Nordeste",101740275,NA,NA,NA,NA,NA,NA,NA
"2021","Paraíba","Nordeste",77470331,67766358,9703973,3190466,10071557,32576435,21927900,4059905
"2023","Paraíba","Nordeste",96963174,NA,NA,NA,NA,NA,NA,NA
"2021","Pernambuco","Nordeste",220813522,185865163,34948359,9605117,40694065,90257702,45308279,9674793
"2023","Pernambuco","Nordeste",270474919,NA,NA,NA,NA,NA,NA,NA
"2021","Alagoas","Nordeste",76265620,68492049,7773571,16829600,9432169,26317884,15912397,3365351
"2023","Alagoas","Nordeste",89688932,NA,NA,NA,NA,NA,NA,NA
"2021","Sergipe","Nordeste",51861397,45894896,5966501,2758532,10223715,19854437,13058213,2338474
"2023","Sergipe","Nordeste",60816662,NA,NA,NA,NA,NA,NA,NA
"2021","Bahia","Nordeste",352617852,307323885,45293967,34058220,76494697,137724666,59046302,14985284
"2023","Bahia","Nordeste",430987853,NA,NA,NA,NA,NA,NA,NA
"2021","Minas Gerais","Sudeste",857593214,754065571,103527643,55849923,258629586,332409799,107176263,21411923
"2023","Minas Gerais","Sudeste",971977551,NA,NA,NA,NA,NA,NA,NA
"2021","Espírito Santo","Sudeste",186336505,155644158,30692347,7014830,59642699,68524167,20462462,4108508
"2023","Espírito Santo","Sudeste",209829732,NA,NA,NA,NA,NA,NA,NA
"2021","Rio de Janeiro","Sudeste",949300770,819846104,129454667,4375468,292743438,377139325,145587873,17463349
"2023","Rio de Janeiro","Sudeste",1172871443,NA,NA,NA,NA,NA,NA,NA
"2021","São Paulo","Sudeste",2719751231,2246365431,473385800,46193518,518292532,1474964197,206915184,46649132
"2023","São Paulo","Sudeste",3444814033,NA,NA,NA,NA,NA,NA,NA
"2021","Paraná","Sul",549973062,474589559,75383503,61711282,130065817,223838590,58973871,11597484
"2023","Paraná","Sul",670919162,NA,NA,NA,NA,NA,NA,NA
"2021","Santa Catarina","Sul",428570889,347534879,81036009,23433284,95420339,186568806,42112450,7338473
"2023","Santa Catarina","Sul",513392973,NA,NA,NA,NA,NA,NA,NA
"2021","Rio Grande do Sul","Sul",581283677,502104476,79179201,74967475,121123407,238271769,67741826,11466630
"2023","Rio Grande do Sul","Sul",650107022,NA,NA,NA,NA,NA,NA,NA
"2021","Mato Grosso do Sul","Centro-Oeste",142203766,125943994,16259773,32138406,25468386,47448445,20888757,2839188
"2023","Mato Grosso do Sul","Centro-Oeste",184402118,NA,NA,NA,NA,NA,NA,NA
"2021","Mato Grosso","Centro-Oeste",233390203,210344581,23045622,79882439,32177974,73276756,25007411,3567234
"2023","Mato Grosso","Centro-Oeste",273008586,NA,NA,NA,NA,NA,NA,NA
"2021","Goiás","Centro-Oeste",269627874,238153738,31474136,42437487,53006223,105981332,36728695,7206589
"2023","Goiás","Centro-Oeste",336746975,NA,NA,NA,NA,NA,NA,NA
"2021","Distrito Federal","Centro-Oeste",286943782,257028378,29915404,2286948,10235490,127696742,116809198,3094325
"2023","Distrito Federal","Centro-Oeste",365669108,NA,NA,NA,NA,NA,NA,NA
